METRO_CODE,METRO_NAME,MLS_CODE,MLS_SHORT_NAME,MLS_LONG_NAME,NUM_LISTINGS
abbeville-ga,"Abbeville, GA",GA_CRISP,GA_CRISP,Crisp Area Board of Realtors Inc,15
abbeville-ga,"Abbeville, GA",GA_TIFT,GA_TIFT,Tiftarea Board of REALTORSÂ®,2
aberdeen,"Aberdeen, WA",NWMLS,NWMLS,Northwest Multiple Listing Service,1390
aberdeen,"Aberdeen, WA",PORTLAND,RMLS,RMLS,3
abilene-ks,"Abilene, KS",KS_HMLS,KS_HMLS,Hays Multiple Listing Service,220
abilene-ks,"Abilene, KS",KS_JCBR,KS_JCBR,Junction City Board of REALTORSÂ®,255
abilene-ks,"Abilene, KS",KS_MAR,KS_MAR,Manhattan Association of Realtors,10
abilene-ks,"Abilene, KS",KS_SMLS,KS_SMLS,Salina Multiple Listing Service,3
abilene-ks,"Abilene, KS",KS_TAAR,KS_TAAR,Topeka Area Association of REALTORS,1
abilene,"Abilene, TX",GDAR,NTREIS,North Texas Real Estate Information Systems,1226
abilene,"Abilene, TX",TX_PMLS,TX_PMLS,Paris Texas Board of REALTORS,1
abilene,"Abilene, TX",TX_SAAR,TX_SAAR,San Angelo Association of Realtors,5
abingdon-va,"Abingdon, VA",NC_HCAR,NC_HCAR,"High Country Association of REALTORS, Inc.",3
abingdon-va,"Abingdon, VA",TNVA_MLS,TNVA_MLS,Tennessee Virginia Regional MLS,583
abingdon-va,"Abingdon, VA",TN_LAMLS,TN_LAMLS,Lakeway Area Association of Realtors,1
abingdon-va,"Abingdon, VA",VA_SWVAR,VA_SWVAR,Southwest Virginia Association of REALTORS,619
acadia-parish-la,"Acadia Parish, LA",LA_RAAMLS,LA_RAAMLS,RealtorÂ® Association of Acadiana,415
acadia-parish-la,"Acadia Parish, LA",LA_SWLAR,LA_SWLAR,Southwest Louisiana Association of REALTORSÂ®,0
ada-ok,"Ada, OK",OK_NORES,OK_NORES,"Northeast Oklahoma Real Estate Services, Inc",230
ada-ok,"Ada, OK",OK_OKC,MLSOK,MLSOK,9
adams-wi,"Adams, WI",MN_ROCH,MN_ROCH,Southeast Minnesota Association of Realtors,0
adams-wi,"Adams, WI",WI_WIREX,WI_WIREX,Wisconsin Real Estate Exchange,2199
adel-ga,"Adel, GA",GA_TIFT,GA_TIFT,Tiftarea Board of REALTORSÂ®,9
adel-ga,"Adel, GA",GA_VBR,GA_VBR,Valdosta Board of REALTORS,113
akron-oh,"Akron, OH",OH_CBR,OH_CBR,Columbus and Central Ohio Regional MLS,1
akron-oh,"Akron, OH",OH_NORMLS,OH_NORMLS,"Northern Ohio Regional Multiple Listing Service, Inc.",4075
alamosa-co,"Alamosa, CO",CO_CREN,CO_CREN,Colorado Real Estate Network,566
alamosa-co,"Alamosa, CO",CO_PAR,CO_PAR,Pueblo Association of Realtors,3
alamosa-co,"Alamosa, CO",ML,Metrolist,"METROLIST, INC., DBA RECOLORADO",403
albany-or,"Albany - Corvallis, OR",OR_MLCOBO,OR_MLCOBO,Central Oregon Association of REALTORS,9
albany-or,"Albany - Corvallis, OR",OR_WVMLS,OR_WVMLS,Willamette Valley Multiple Listing Service,1170
albany-or,"Albany - Corvallis, OR",PORTLAND,RMLS,RMLS,272
albany-ga,"Albany, GA",FIRSTMLS,FMLS,First Multiple Listing Service,1
albany-ga,"Albany, GA",GA_CGMLS,GA_CGMLS,Central Georgia MLS,1
albany-ga,"Albany, GA",GA_CRISP,GA_CRISP,Crisp Area Board of Realtors Inc,1
albany-ga,"Albany, GA",GA_SWGBR,GA_SWGBR,Southwest Georgia Board of Realtors,280
albany-ga,"Albany, GA",METROMLS,GAMLS,Georgia Multiple Listing Service,6
albany-ky,"Albany, KY",KY_SLCBR,KY_SLCBR,Somerset-Lake Cumberland Board of Realtors,83
albany,"Albany, NY",MA_BCMLS,MA_BCMLS,Berkshire County Multiple Listing Service,0
albany,"Albany, NY",NY_ACVMLS,NY_ACVMLS,"Adirondack-Champlain Valley Multiple Listing Service, Inc.",6
albany,"Albany, NY",NY_CGND,NY_CGND,Columbia Greene Northern Dutchess Multiple Listing Service,120
albany,"Albany, NY",NY_GCAR,NY_GCAR,Greater Capital Association of Realtors,9868
albany,"Albany, NY",NY_GENRIS,NYSAMLS,New York State Alliance,2
albany,"Albany, NY",NY_GURBR,NY_GURBR,Mohawk Valley Association of REALTORS,53
albany,"Albany, NY",NY_MLSUC,NY_MLSUC,"Multiple Listing Service of Ulster County, Inc.",15
albany,"Albany, NY",NY_ODBR,NY_ODBR,Otsego-Delaware Board of REALTORS,101
albany,"Albany, NY",NY_WCAR,NY_WCAR,Warren County(NY) Association of REALTORS,332
albany,"Albany, NY",SOLO_4181,SOLO_4181,Hunt Real Estate ERA,76
albany,"Albany, NY",SOLO_4181_AZ,SOLO_4181_AZ,Hunt Real Estate ERA (Phoenix),43
albert-lea-mn,"Albert Lea, MN",MN_RASM,MN_RASM,Realtors Association of Southern Minnesota,4
albert-lea-mn,"Albert Lea, MN",MN_ROCH,MN_ROCH,Southeast Minnesota Association of Realtors,180
albert-lea-mn,"Albert Lea, MN",NSMLS,NorthStarMLS,"Regional Multiple Listing Service of Minnesota, Inc",4
albuquerque,"Albuquerque, NM",NM_RANM,NM_RANM,Realtor Association of New Mexico,3
albuquerque,"Albuquerque, NM",NM_SFAR,NM_SFAR,Santa Fe Association of REALTORS,81
albuquerque,"Albuquerque, NM",NM_SWMLS,NM_SWMLS,Southwest Multiple Listing Service,8109
albuquerque,"Albuquerque, NM",NM_TCAR,NM_TCAR,Taos County Association of Realtors,0
alcona-county-mi,"Alcona County, MI",MI_BCRA,MI_BCRA,Bay County Realtors Association,1
alcona-county-mi,"Alcona County, MI",MI_EUPBR,MI_EUPBR,Eastern Upper Peninsula Board of REALTORSÂ®,0
alcona-county-mi,"Alcona County, MI",MI_FAAR,MI_FAAR,Flint Area Association of Realtors,21
alcona-county-mi,"Alcona County, MI",MI_GRAR,MichRIC,Michigan Regional Information Center,1
